sfdr fdr k th h2 pnc pc nc i j maf_l maf_u
0.702334630350194 0.70252754374595 all 0 0.4 0.1 0.1 50 3 9 0.01 0.05
0.807004470938897 0.807148175725987 all 0.2 0.4 0.1 0.1 50 3 9 0.01 0.05
0.869181380417336 0.869286287089014 all 0.4 0.4 0.1 0.1 50 3 9 0.01 0.05
0.900249376558603 0.900332225913621 all 0.6 0.4 0.1 0.1 50 3 9 0.01 0.05
0.928816466552316 0.928877463581834 all 0.8 0.4 0.1 0.1 50 3 9 0.01 0.05
0.982552800734619 0.98256880733945 all 0.9 0.4 0.1 0.1 50 3 9 0.01 0.05
0.982456140350877 0.982472324723247 all 1 0.4 0.1 0.1 50 3 9 0.01 0.05
0.662538699690402 0.662203913491246 all 0 0.4 0.1 0.1 50 1 7 0.01 0.05
0.766109785202864 0.76547619047619 all 0.2 0.4 0.1 0.1 50 1 7 0.01 0.05
0.865229110512129 0.864247311827957 all 0.4 0.4 0.1 0.1 50 1 7 0.01 0.05
0.890429958391123 0.889349930843707 all 0.6 0.4 0.1 0.1 50 1 7 0.01 0.05
0.909348441926346 0.90819209039548 all 0.8 0.4 0.1 0.1 50 1 7 0.01 0.05
0.98145285935085 0.981481481481482 all 0.9 0.4 0.1 0.1 50 1 7 0.01 0.05
0.981308411214953 0.981337480559876 all 1 0.4 0.1 0.1 50 1 7 0.01 0.05
0.93703125 0.937246331564159 all 0 0.4 0.1 0.1 50 2 3 0.01 0.05
0.956154336734694 0.956203217072782 all 0.2 0.4 0.1 0.1 50 2 3 0.01 0.05
0.971016839378238 0.97104965227236 all 0.4 0.4 0.1 0.1 50 2 3 0.01 0.05
0.982309582309582 0.982329842931937 all 0.6 0.4 0.1 0.1 50 2 3 0.01 0.05
0.986348684210526 0.986364383111549 all 0.8 0.4 0.1 0.1 50 2 3 0.01 0.05
0.995838188779757 0.995843032923179 all 0.9 0.4 0.1 0.1 50 2 3 0.01 0.05
0.9959979989995 0.996002664890073 all 1 0.4 0.1 0.1 50 2 3 0.01 0.05
0.642907551164432 0.64230498945889 all 0 0.4 0.1 0.1 500 3 9 0.01 0.05
0.706201550387597 0.706883217324053 all 0.2 0.4 0.1 0.1 500 3 9 0.01 0.05
0.750411861614498 0.749794913863823 all 0.4 0.4 0.1 0.1 500 3 9 0.01 0.05
0.807624113475177 0.808134394341291 all 0.6 0.4 0.1 0.1 500 3 9 0.01 0.05
0.858623939679548 0.859022556390977 all 0.8 0.4 0.1 0.1 500 3 9 0.01 0.05
0.960257787325457 0.960385438972163 all 0.9 0.4 0.1 0.1 500 3 9 0.01 0.05
0.960482985729967 0.960612691466083 all 1 0.4 0.1 0.1 500 3 9 0.01 0.05
0.701605288007554 0.701040681173131 all 0 0.4 0.1 0.1 50 2 8 0.01 0.05
0.769151138716356 0.768672199170125 all 0.2 0.4 0.1 0.1 50 2 8 0.01 0.05
0.843359818388195 0.843003412969283 all 0.4 0.4 0.1 0.1 50 2 8 0.01 0.05
0.932245922208281 0.932075471698113 all 0.6 0.4 0.1 0.1 50 2 8 0.01 0.05
0.94169835234474 0.941550190597205 all 0.8 0.4 0.1 0.1 50 2 8 0.01 0.05
0.977272727272727 0.977211796246649 all 0.9 0.4 0.1 0.1 50 2 8 0.01 0.05
0.977119784656797 0.977058029689609 all 1 0.4 0.1 0.1 50 2 8 0.01 0.05
0.890718562874252 0.890677648820666 all 0 0.4 0.1 0.1 50 1 9 0.01 0.05
0.921052631578947 0.921022067363531 all 0.2 0.4 0.1 0.1 50 1 9 0.01 0.05
0.945194598888006 0.945172824791418 all 0.4 0.4 0.1 0.1 50 1 9 0.01 0.05
0.96551724137931 0.965503246753247 all 0.6 0.4 0.1 0.1 50 1 9 0.01 0.05
0.980230642504119 0.980222496909765 all 0.8 0.4 0.1 0.1 50 1 9 0.01 0.05
0.991206030150754 0.991202346041056 all 0.9 0.4 0.1 0.1 50 1 9 0.01 0.05
0.992016806722689 0.992013451029845 all 1 0.4 0.1 0.1 50 1 9 0.01 0.05
0.666585067319461 0.667238421955403 all 0 0.4 0.1 0.1 500 2 8 0.01 0.05
0.740146779016037 0.740348015225666 all 0.2 0.4 0.1 0.1 500 2 8 0.01 0.05
0.783597122302158 0.783597122302158 all 0.4 0.4 0.1 0.1 500 2 8 0.01 0.05
0.840691571472677 0.840691571472677 all 0.6 0.4 0.1 0.1 500 2 8 0.01 0.05
0.88754889178618 0.88754889178618 all 0.8 0.4 0.1 0.1 500 2 8 0.01 0.05
0.968874411871155 0.968874411871155 all 0.9 0.4 0.1 0.1 500 2 8 0.01 0.05
0.972456849063533 0.972456849063533 all 1 0.4 0.1 0.1 500 2 8 0.01 0.05
